A  	Element	Z  	N  	Energy  	JPi           	Mass Exc  	Unc  	T1/2 (txt)               	T1/2 (seconds)           	Abund.    	Unc     	Dec Mode	Branching (%) 
94 	Mo     	42 	52 	0.0000  	0+            	-88.4141  	15   	STABLE                   	infinity                 	9.15%     	9       	        	            
95 	Mo     	42 	53 	0.0000  	5/2+          	-87.7119  	15   	STABLE                   	infinity                 	15.84%    	11      	        	            
96 	Mo     	42 	54 	0.0000  	0+            	-88.7949  	15   	STABLE                   	infinity                 	16.67%    	15      	        	            
97 	Mo     	42 	55 	0.0000  	5/2+          	-87.5448  	15   	STABLE                   	infinity                 	9.60%     	14      	        	            
98 	Mo     	42 	56 	0.0000  	0+            	-88.1161  	15   	STABLE                   	infinity                 	24.39%    	37      	        	            
100	Mo     	42 	58 	0.0000  	0+            	-86.1878  	20   	7.3E+18 Y 4              	2.304E26                 	9.82%     	31      	2B-     	100.00      
96 	Ru     	44 	52 	0.0000  	0+            	-86.0804  	15   	STABLE                   	infinity                 	5.54%     	14      	        	            
98 	Ru     	44 	54 	0.0000  	0+            	-88.225   	6    	STABLE                   	infinity                 	1.87%     	3       	        	            
99 	Ru     	44 	55 	0.0000  	5/2+          	-87.6202  	20   	STABLE                   	infinity                 	12.76%    	14      	        	            
100	Ru     	44 	56 	0.0000  	0+            	-89.2222  	20   	STABLE                   	infinity                 	12.60%    	7       	        	            
101	Ru     	44 	57 	0.0000  	5/2+          	-87.9529  	20   	STABLE                   	infinity                 	17.06%    	2       	        	            
102	Ru     	44 	58 	0.0000  	0+            	-89.1012  	20   	STABLE                   	infinity                 	31.55%    	14      	        	            
104	Ru     	44 	60 	0.0000  	0+            	-88.092   	3    	STABLE                   	infinity                 	18.62%    	27      	        	            
103	Rh     	45 	58 	0.0000  	1/2-          	-88.026   	3    	STABLE                   	infinity                 	100%      	        	        	            
102	Pd     	46 	56 	0.0000  	0+            	-87.929   	3    	STABLE                   	infinity                 	1.02%     	1       	        	            
